"id","name","family","claim","key_number","formula","evidence_grade","design_lever","anti_pattern","symptoms","applies_to","conflicts_with","ethics_axis","quote","source"
"cognitive-load","Cognitive Load","cognition","Total mental effort is intrinsic plus extraneous plus germane; only the extraneous term is yours to cut, and cutting it frees capacity.","~4 chunks capacity (Cowan 2001); 3 load types (Sweller 1994)","Intrinsic + Extraneous + Germane <= working memory capacity","replicated","Name the user segment, name which load term you are cutting, and predict one observable: error rate on field N, time-to-first-action, or abandonment at step 3.","Do not argue reduce cognitive load in the abstract. A load claim with no named segment and no predicted metric is an aesthetic preference wearing a lab coat.","this screen feels overwhelming|too much on one page|users miss details here|people give up halfway|it looks cluttered","form|dashboard|settings|onboarding","teslers-law|zeigarnik-effect","neutral","The amount of mental resources needed to understand and interact with an interface. - lawsofux.com","laws-of-ux/01-cognitive-load-and-memory.md#1-cognitive-load"
"millers-law","Miller's Law","cognition","Immediate memory holds about 7 plus or minus 2 chunks rather than bits, and the modern controlled estimate is nearer 4.","7+-2 chunks (Miller 1956); 4+-1 (Cowan 2010)","H = log2(n) bits","contested","Plan for 4 items maximum that a user must carry unaided across a screen boundary, and chunk every numeric sequence in the input field, not only in the display.","Never cap a visible list at seven. Nesting a 40-item settings list into five menus of seven converts a cheap visual scan into an expensive chain of recalled decisions.","how many items should this menu have|is seven too many tabs|users forget what they picked on the previous step|should we split this list","nav|form|settings|checkout","hicks-law","neutral","Don't use the 'magical number seven' to justify unnecessary design limitations. - lawsofux.com","laws-of-ux/01-cognitive-load-and-memory.md#2-millers-law"
"working-memory","Working Memory","cognition","The user's buffer holds 4 to 7 chunks for 20 to 30 seconds without rehearsal, and whatever it holds is capacity unavailable for thinking.","4-7 chunks, 20-30 s without rehearsal; Brown-Peterson ~18 s","","replicated","Externalise every piece of state the system already knows: style visited links, keep breadcrumbs, show a comparison table instead of sequential pages, and never clear a form on validation error.","Do not fire a modal in the middle of a comparison. An interruption does not delay the buffer, it flushes it, and the user restarts the task from the beginning.","users keep flipping between two screens|they have to re-enter everything after an error|people lose their place|the wizard forgets what I typed","form|checkout|table|modal","","protective","Place burden of memory on the system, not the user. - lawsofux.com","laws-of-ux/01-cognitive-load-and-memory.md#3-working-memory"
"chunking","Chunking","cognition","Grouping items into meaningful units multiplies effective capacity, because the buffer counts units and units can be made arbitrarily large.","effective items ~ 4 x items_per_chunk","effective capacity = chunks_held x items_per_chunk","replicated","Group with whitespace first and reach for borders only when proximity cannot carry it, and label each group with a word the user would use rather than the team's word.","Do not group by internal taxonomy. Settings grouped by which team owns them are visually perfect and cognitively useless, and design review cannot catch it because the reviewer shares the model.","this page is a wall of text|users cannot find the setting|the form feels endless|the nav has thirty items","form|settings|nav|dashboard","","neutral","A process by which individual pieces of an information set are broken down and then grouped together in a meaningful whole. - lawsofux.com","laws-of-ux/01-cognitive-load-and-memory.md#4-chunking"
"selective-attention","Selective Attention","cognition","Users filter to goal-relevant stimuli, so prominence and attention are not monotonically related and more emphasis can produce less attention.","none; selection depth scales with perceptual load","","replicated","Before enlarging anything, check four things in order: is it in an ad-shaped slot, does it resemble an ad, is another change firing at the same moment, is the user task-loaded.","Do not answer users are not seeing X by making X bigger and redder. If X is being filtered rather than missed, extra prominence strengthens the ad resemblance and makes it worse.","nobody notices the banner|users miss the error message|they swear the button was not there|the notice in the right rail gets ignored","form|dashboard|notification|empty-state","fitts-law|von-restorff-effect","neutral","Users have learned to ignore content that resembles ads, is close to ads, or appears in locations traditionally dedicated to ads. - lawsofux.com","laws-of-ux/01-cognitive-load-and-memory.md#5-selective-attention"
"serial-position-effect","Serial Position Effect","cognition","In a temporally presented sequence the first and last items are recalled best and the middle is lost.","recency dies after a ~30 s filled delay (Glanzer & Cunitz 1966)","","replicated","Put the cheap items in the middle of any sequence - onboarding steps, tutorial content, list order - and reserve the two ends for what the user must retain afterwards.","Do not win a navigation-layout argument with a memory claim. A horizontal bar is visible at recall time; scan pattern and pointer economics predict the same layout without invoking memory.","what order should the nav items go in|users forget the middle steps|where should the primary action sit|which plan should be listed first","nav|onboarding|pricing|search","","neutral","Users have a propensity to best remember the first and last items in a series. - lawsofux.com","laws-of-ux/01-cognitive-load-and-memory.md#6-serial-position-effect"
"fitts-law","Fitts's Law","interaction","Time to acquire a target grows with distance and shrinks with target size, logarithmically in the ratio of the two.","44 pt iOS / 48 dp Android / 24 px WCAG 2.2 SC 2.5.8","MT = a + b*log2(2A/W); Shannon form MT = a + b*log2(A/W + 1)","replicated","Get every control above the platform minimum, then stop optimising size and start cutting travel distance from wherever the eye and the pointer already are.","Do not make the hit area equal the visual area. A 24 px icon with 10 px of transparent padding is a 44 px target that still looks like a 24 px icon.","users keep mis-tapping|delete sits right next to save|it is fiddly on mobile|the submit button is miles from the last field","form|nav|table|modal","hicks-law|selective-attention","neutral","The time to acquire a target is a function of the distance to and size of the target. - lawsofux.com","laws-of-ux/02-interaction-and-system-response.md#1-fittss-law"
"hicks-law","Hick's Law","interaction","Decision time rises with the entropy of the option set rather than the raw count, so the cost is logarithmic and cheap.","~5 bits/s (Hick 1952); b ~ 200 ms/bit","RT = a + b*log2(n+1); general RT = a + b*H where H = sum p*log2(1/p)","replicated","Skew the probability distribution instead of deleting options: one visually dominant primary action, a marked recommended tier, relevance sorting, and the last choice remembered.","Do not delete features to hit an item count and rebuild them as three levels of nesting. Net decision cost rises while the organisation congratulates itself on simplicity.","too many options on this screen|users freeze at the plan picker|the menu is too long|should we nest these under a submenu","nav|pricing|settings|search|form","choice-overload|fitts-law|millers-law|teslers-law|postels-law","neutral","Be careful not to simplify to the point of abstraction. - lawsofux.com","laws-of-ux/02-interaction-and-system-response.md#2-hicks-law"
"doherty-threshold","Doherty Threshold","interaction","Productivity rises superlinearly when system response stays under 400 ms, because the user never drops out of the interaction loop.","400ms (Doherty & Thadani 1982); 0.1s/1s/10s (R. B. Miller 1968); 16 ms for direct manipulation","","contested","Acknowledge every press locally within 100 ms without waiting on a round trip, then set p95 budgets per interaction class and treat a breach as a bug with a named owner.","Do not stage a fake progress sequence over work that did not happen. An artificial delay that depicts real work is honest pacing; one that fabricates work is a lie about the product.","the app feels sluggish|users click twice|nothing happens when I press it|the spinner flickers on fast operations","form|search|dashboard|checkout","teslers-law","neutral","Productivity soars when a computer and its users interact at a pace (<400ms) that ensures that neither has to wait on the other. - lawsofux.com","laws-of-ux/02-interaction-and-system-response.md#3-doherty-threshold"
"jakobs-law","Jakob's Law","interaction","Users spend most of their time on other products and therefore expect yours to work the same way as those.","none; power law of learning","T(n) = T(1)*n^(-alpha)","heuristic","Conform on interaction mechanics - select, scroll, undo, back, submit - and spend your differentiation budget on capability and visual identity instead.","Do not ship a near-miss. A control that is 90% conventional causes negative transfer and is measurably slower and more error-prone than either full conformity or overt novelty.","users cannot find the cart|the custom dropdown confuses people|everyone hates the redesign|our terminology is clever and nobody understands it","nav|checkout|form|search","von-restorff-effect|occams-razor","neutral","Users prefer your site to work the same way as all the other sites they already know. - Jakob Nielsen","laws-of-ux/02-interaction-and-system-response.md#4-jakobs-law"
