action,unit_cost,rationale,source
click,1.0,"THE UNIT. Every other number here is a multiple of one click. These are RELATIVE units, not seconds or milliseconds - never report a total as a time estimate. A score is only meaningful next to another score of the same flow.",calibration
double-click,1.8,"Two presses but one aim: the second acquisition has distance ~0, so it costs well under two clicks. If you cannot tell from the recording whether a double-click was intended, count two clicks and say so in the ledger.",fitts-law
drag,3.0,"Press, track the target under continuous visual correction, release. Aiming is paid twice and a slip loses the whole gesture. If the drag has a click-based alternative in the same view, count the cheaper path - the human will find it.",fitts-law
scroll-screen,0.8,"One viewport height of deliberate scrolling. Motorically cheap, but it pushes content out of view and anything still needed from above becomes a memory item. Count that separately; do not fold it in here.",calibration
keystroke-char,0.1,"Per character actually typed. Ten characters cost one click. Do not count characters the system filled in - a pre-filled field the user accepts unchanged costs field-entry only.",calibration
field-entry,1.5,"Focus a field, confirm the value is right, commit. Use for pickers, checkboxes, toggles and pre-filled fields where nothing is typed. If the user retypes a pre-filled value, it is field-entry-typed instead.",calibration
field-entry-typed,2.5,"Overhead of a field the user must produce a value for: recall it, format it, survive validation. Count keystroke-char ON TOP for the characters. Never charge both field-entry and field-entry-typed for one field.",calibration
select-from-short-list,2.0,"Open, scan, pick from <=7 visible options. This is the motor and scanning cost only. The classification cost is a decision-* row and is counted as well - they measure different things and charging both is correct, not double-counting.",calibration
select-from-long-list,4.0,"Same act over a list that does not fit the viewport: scanning becomes searching. If the control has type-ahead AND the user used it, charge select-from-short-list plus the keystrokes - filtering is what makes a 200-item list survivable.",calibration
navigation-same-page,1.5,"Anchor jump, in-page tab, accordion, expand. Content changes but the shell and the user's sense of place survive. If the URL changes and the header reloads, it is navigation-new-page regardless of what the router calls it.",calibration
navigation-new-page,4.0,"Full context replacement: the user re-orients, re-scans, and loses their place in the old screen. Wait time is a separate wait-* row - a fast navigation is still a navigation.",calibration
modal-open,2.0,"A modal interrupts at whatever moment it fires and blocks the surface behind it. If it opened without the user asking (a promo, a nag, an unrequested tour), charge it AND flag the finding - an uninvited interrupt can flush what the user was holding.",working-memory
