"symptom_phrase","principle_ids","surface","confidence"
"users drop off at step 3","goal-gradient|optimal-information-flow|cognitive-load","onboarding","high"
"nobody finishes onboarding","goal-gradient|endowed-progress|paradox-of-the-active-user|cognitive-load-balancing","onboarding","high"
"the setup checklist starts at zero","endowed-progress|goal-gradient","onboarding","high"
"new users don't know what to do first","paradox-of-the-active-user|endowed-progress|mental-model|goal-gradient","empty-state","high"
"people abandon the cart","optimal-information-flow|goal-gradient|parkinsons-law|framing","checkout","high"
"the form is too long","parkinsons-law|optimal-information-flow|goal-gradient|chunking","form","high"
"they never come back","zeigarnik-effect|car-model|peak-end-rule","notification","medium"
"too many clicks","fitts-law|optimal-information-flow|teslers-law","any","high"
"delete sits right next to save","fitts-law|law-of-similarity|peak-end-rule","any","high"
"they click the wrong button and lose work","fitts-law|law-of-similarity|peak-end-rule|postels-law","form","high"
"the submit button is miles from the last field","fitts-law|optimal-information-flow","form","high"
"the mobile version is unusable","fitts-law|jakobs-law|optimal-information-flow","any","medium"
"it feels slow even though it's fast","doherty-threshold|flow|parkinsons-law","any","high"
"users click twice because nothing happens","doherty-threshold|flow","any","high"
"too many options on this screen","hicks-law|choice-overload|pareto-principle","any","high"
"users freeze at the plan picker","hicks-law|choice-overload|anchoring|von-restorff-effect","pricing","high"
"users keep picking the wrong option","law-of-similarity|hicks-law|law-of-proximity","form","medium"
"the nav has thirty items","chunking|hicks-law|pareto-principle|millers-law","nav","high"
"should we hide this behind a submenu","hicks-law|millers-law|occams-razor|pareto-principle","nav","medium"
"the settings page is a wall of switches","chunking|hicks-law|law-of-common-region|pareto-principle","settings","high"
"people can't find the export button","selective-attention|von-restorff-effect|law-of-pragnanz|mental-model","dashboard","high"
"nobody notices the new feature","selective-attention|von-restorff-effect|serial-position-effect","nav","high"
"people miss the error message","selective-attention|von-restorff-effect|working-memory","form","high"
"everything on the page shouts","von-restorff-effect|law-of-similarity|law-of-pragnanz","any","high"
"nobody uses this tab","pareto-principle|selective-attention|mental-model","nav","medium"
"which feature deserves top-level nav","pareto-principle|serial-position-effect|hicks-law","nav","high"
"this page feels cluttered","occams-razor|law-of-proximity|von-restorff-effect|cognitive-load","any","medium"
"the page is card soup","law-of-common-region|law-of-proximity|occams-razor","dashboard","high"
"users answer the wrong field","law-of-proximity|law-of-similarity|postels-law","form","high"
"the tab content doesn't look connected to the tab","law-of-uniform-connectedness|law-of-proximity","nav","high"
"the table is overwhelming","chunking|cognitive-load|pareto-principle|law-of-common-region","table","medium"
"the grouping disappears in dark mode","law-of-common-region|law-of-similarity|ambient-communication","any","high"
"status colours mean different things on different pages","law-of-similarity|ambient-communication|mental-model","dashboard","high"
"the dashboard is unreadable at a glance","ambient-communication|chunking|von-restorff-effect|law-of-common-region","dashboard","high"
"the icons have no labels and nobody gets them","law-of-pragnanz|occams-razor|jakobs-law|mental-model","nav","high"
"they don't understand what this does","mental-model|law-of-pragnanz|jakobs-law","any","medium"
"users complain it's confusing","mental-model|cognitive-load|chunking|jakobs-law","any","low"
"the navigation mirrors our org chart","mental-model|chunking|pareto-principle","nav","high"
"the redesign broke everyone's muscle memory","jakobs-law|mental-model|flow","any","high"
"support keeps getting the same question","teslers-law|paradox-of-the-active-user|mental-model","any","high"
"nobody reads the help article","paradox-of-the-active-user|selective-attention|cognitive-load-balancing","any","high"
"we simplified it and support tickets went up","teslers-law|occams-razor|paradox-of-the-active-user","any","high"
"too many concepts at once","cognitive-load-balancing|chunking|cognitive-load","onboarding","high"
"users ask where their data went","working-memory|mental-model|jakobs-law","any","high"
"users forget what they picked on the previous step","working-memory|millers-law|optimal-information-flow","form","high"
"the form clears everything when validation fails","working-memory|postels-law|peak-end-rule","form","high"
"users keep flipping between two screens to compare","working-memory|optimal-information-flow|chunking","table","high"
"the modal interrupts what I was doing","flow|working-memory|zeigarnik-effect","modal","high"
"the form rejects my phone number","postels-law|mental-model","form","high"
"users type the wrong words into search","mental-model|priming|postels-law","search","medium"
"recommendations feel narrow","personalisation|availability","search","high"
"experts find it tedious and beginners find it terrifying","optimal-challenge|flow|cognitive-load-balancing","any","high"
"the cancellation flow is hostile","peak-end-rule|choice-architecture|sunk-cost-and-loss-aversion|optimal-information-flow","settings","high"
"users remember the one time it broke","peak-end-rule|availability","any","high"
"it tested well but the funnel is bad","aesthetic-usability-effect|cognitive-bias","any","high"
"is this a dark pattern","cognitive-bias|choice-architecture|scarcity|framing","any","high"
"the consent banner has one big accept button","choice-architecture|cognitive-bias|framing","modal","high"
"what should this toggle default to","choice-architecture|framing|pareto-principle","settings","high"
"should we add only 2 left","scarcity|cognitive-bias|social-proof","pricing","high"
"should we show how many people bought this","social-proof|framing|availability","pricing","high"
"which price should be listed first","anchoring|serial-position-effect|framing","pricing","high"
"users misunderstand what they signed up for","framing|cognitive-bias|optimal-information-flow","checkout","high"
"do trust badges before the payment field help","priming|social-proof|cognitive-bias","checkout","high"
"should we gamify this","gamification|reward-learning|optimal-challenge","any","high"
"should we add streaks","sunk-cost-and-loss-aversion|reward-learning|gamification","any","high"
"the notification badge never clears","zeigarnik-effect|ambient-communication|stopping-rules","notification","high"
"sessions run longer than people intend","stopping-rules|car-model|stimulus-devaluation","dashboard","high"
"the fraud rule flags the wrong people","representativeness|cognitive-bias|availability","any","medium"
