"id_a","id_b","tension","resolution_rule"
"cognitive-load","teslers-law","Cutting load off a screen does not destroy the work, it relocates it to whoever is not in the room.","Name the load term you cut and its new owner in the same sentence. Extraneous load can be deleted outright. Intrinsic load may only move to the system - precompute it, remember it, default it - never to support, an ops team, or an API the customer has to write."
"cognitive-load","zeigarnik-effect","An open loop is a retention hook to the growth team and an unfinished item the user is carrying.","Every loop you open must persist server-side and must be closeable by a user action. If no sequence of clicks drives the badge to zero it is load with no exit - remove it. Count simultaneously open loops per user against the four-item ceiling."
"millers-law","working-memory","7 plus or minus 2 is quoted to cap menus, and the controlled figure is nearer 4 and covers only what the user holds with no external support.","Use 4, and only for items the user must carry across a screen boundary unaided. For anything visible - menu items, table columns, list rows - memory span does not apply at all: never cap a visible list at seven, and never nest to hit a count."
"millers-law","hicks-law","Miller is cited to shorten the visible set, while Hick prices that set logarithmically and charges full price for every level of nesting added instead.","For visible, labelled options cut entropy rather than count: sort by relevance, mark one recommended item, remember the last choice. Add a level of nesting only when the flat list exceeds one viewport AND every label still reads correctly one level down."
"selective-attention","fitts-law","Fitts pushes controls to edges and corners, which are the exact regions users have learned to filter as chrome and advertising.","Decide by failure mode. Mis-clicks and slow acquisition are a Fitts problem: enlarge the target and shorten travel. Users reporting that the control was not there is an attention problem: move it into the content column, because enlarging it strengthens the ad resemblance and makes it worse."
"selective-attention","von-restorff-effect","Isolation is how you make one item findable, and past a point being isolated is the signature of an advert.","Before raising intensity run four checks: is it in an ad-shaped slot, does it resemble an ad, is anything else animating at that moment, is the user task-loaded. If any is true, change its position or its container. Raise size and colour only when all four are false."
"fitts-law","hicks-law","The standard Hick fix is nesting, and Fitts charges a pointing act for every level of nesting you add.","Time the whole task, not the menu: flat list against nested version, including hover, travel and re-acquisition, on the real device. Where you cannot measure, ship flat - a visible list is scanned in parallel and a menu tree is traversed serially."
"hicks-law","postels-law","Hick favours a constrained picker with few options, Postel favours free text the system parses.","Use parsed free text when the value has a canonical form the machine can verify and echo back - dates, phone numbers, card numbers, addresses, quantities. Use a constrained picker when there is no canonical form and a wrong guess is expensive - currency, country, plan, permission level."
"hicks-law","teslers-law","Removing options from a screen does not remove decisions from the task.","Count decisions per completed task, not controls per screen. If an option left the UI and reappeared as a support request, a config file, or a call to the account manager, decision cost rose. A decision is only removed when the system makes it correctly by default and the user can still override it."
"hicks-law","choice-overload","Both get quoted as too many options, but one is a logarithmic scanning cost and the other is a comparison cost that appears only when options must be evaluated.","Ask whether the user recognises the options or must evaluate them. Recognised - nav labels, recent files, countries - is Hick: keep the list and sort it, do not cut. Evaluated - plans, policies, near-identical SKUs - is choice overload: stage the set, and name which Chernev moderator is active before deleting anything."
